Final Parameters:
a = 1.015109
b = -1.116106

Training History:
Iteration	NLL	ECE
399	0.383443	0.039058
400	0.383443	0.038996
401	0.383442	0.038948
402	0.383441	0.038767
403	0.383440	0.038858
404	0.383439	0.039050
405	0.383439	0.038917
406	0.383438	0.038972
407	0.383437	0.039007
408	0.383436	0.038833
409	0.383436	0.038630
410	0.383435	0.038766
411	0.383434	0.038763
412	0.383434	0.038706
413	0.383433	0.038553
414	0.383432	0.038612
415	0.383432	0.038586
416	0.383431	0.038639
417	0.383430	0.038402
418	0.383430	0.038310
419	0.383429	0.038114
420	0.383428	0.038030
421	0.383428	0.038263
422	0.383427	0.038078
423	0.383427	0.037539
424	0.383426	0.037470
425	0.383426	0.037534
426	0.383425	0.037613
427	0.383425	0.037543
428	0.383424	0.037550
429	0.383424	0.037524
430	0.383423	0.037624
431	0.383423	0.038007
432	0.383422	0.038086
433	0.383422	0.038076
434	0.383421	0.037814
435	0.383421	0.037672
436	0.383421	0.037584
437	0.383420	0.037443
438	0.383420	0.037427
439	0.383419	0.037384
440	0.383419	0.037554
441	0.383419	0.037387
442	0.383418	0.037377
443	0.383418	0.037424
444	0.383418	0.037478
445	0.383417	0.037669
446	0.383417	0.037628
447	0.383417	0.037491
448	0.383416	0.037493
449	0.383416	0.037453
450	0.383416	0.037753
451	0.383415	0.037465
452	0.383415	0.037562
453	0.383415	0.037635
454	0.383414	0.037857
455	0.383414	0.037947
456	0.383414	0.037978
457	0.383414	0.038135
458	0.383413	0.038187
459	0.383413	0.038076
460	0.383413	0.038135
461	0.383413	0.038294
462	0.383412	0.038341
463	0.383412	0.038121
464	0.383412	0.038271
465	0.383412	0.038267
466	0.383411	0.038176
467	0.383411	0.038255
468	0.383411	0.038309
469	0.383411	0.038517
470	0.383410	0.038481
471	0.383410	0.038429
472	0.383410	0.038477
473	0.383410	0.038645
474	0.383410	0.038653
475	0.383410	0.038437
476	0.383409	0.038429
477	0.383409	0.038372
478	0.383409	0.038546
479	0.383409	0.038621
480	0.383409	0.038685
481	0.383408	0.038723
482	0.383408	0.038694
483	0.383408	0.038720
484	0.383408	0.038796
485	0.383408	0.038758
486	0.383408	0.038731
